,tweet_emojis
4844,"{'🎈': 'balloon', '♥': 'heart suit'}"
4865,"{'🤍': 'white heart', '🥺': 'pleading face'}"
4866,"{'🤍': 'white heart', '🥺': 'pleading face'}"
4879,{'📝': 'memo'}
4880,{'📝': 'memo'}
4905,{'🎉': 'party popper'}
4906,{'🎉': 'party popper'}
4919,{'💕': 'two hearts'}
4920,{'💕': 'two hearts'}
4977,{'😭': 'loudly crying face'}
4978,{'😭': 'loudly crying face'}
5003,{'♥': 'heart suit'}
5004,{'♥': 'heart suit'}
5059,{'❤️': 'red heart'}
5060,{'❤️': 'red heart'}
5095,{'♥': 'heart suit'}
5096,{'♥': 'heart suit'}
5115,{'🥰': 'smiling face with hearts'}
5116,{'🥰': 'smiling face with hearts'}
5129,{'♥': 'heart suit'}
5130,{'♥': 'heart suit'}
5189,{'😒': 'unamused face'}
5190,{'😒': 'unamused face'}
5205,{'😂': 'face with tears of joy'}
5206,{'😂': 'face with tears of joy'}
5315,{'👀': 'eyes'}
5316,{'👀': 'eyes'}
5329,{'♥': 'heart suit'}
5330,{'♥': 'heart suit'}
5353,"{'🥚': 'egg', '🍳': 'cooking'}"
5354,"{'🥚': 'egg', '🍳': 'cooking'}"
5383,{'✅': 'check mark button'}
5384,{'✅': 'check mark button'}
5427,{'♥': 'heart suit'}
5428,{'♥': 'heart suit'}
5435,"{'💕': 'two hearts', '🎉': 'party popper', '✨': 'sparkles'}"
5436,"{'💕': 'two hearts', '🎉': 'party popper', '✨': 'sparkles'}"
5445,"{'🐰': 'rabbit face', '💙': 'blue heart', '🥕': 'carrot'}"
5446,"{'🐰': 'rabbit face', '💙': 'blue heart', '🥕': 'carrot'}"
5479,"{'🤍': 'white heart', '🥺': 'pleading face'}"
5480,"{'🤍': 'white heart', '🥺': 'pleading face'}"
5513,{'😭': 'loudly crying face'}
5514,{'😭': 'loudly crying face'}
5515,{'♥': 'heart suit'}
5516,{'♥': 'heart suit'}
5525,{'😀': 'grinning face'}
5526,{'😀': 'grinning face'}
5545,{'😭': 'loudly crying face'}
5546,{'😭': 'loudly crying face'}
5547,{'😭': 'loudly crying face'}
5548,{'😭': 'loudly crying face'}
5557,"{'🧱': 'brick', '🚧': 'construction'}"
5558,"{'🧱': 'brick', '🚧': 'construction'}"
5673,{'🤎': 'brown heart'}
5674,{'🤎': 'brown heart'}
5675,{'♥': 'heart suit'}
5676,{'♥': 'heart suit'}
5677,{'💫': 'dizzy'}
5684,{'🙈': 'see-no-evil monkey'}
5701,"{'🌸': 'cherry blossom', '😭': 'loudly crying face', '🌿': 'herb'}"
5703,"{'💚': 'green heart', '💙': 'blue heart'}"
5720,{'😭': 'loudly crying face'}
5725,{'🍃': 'leaf fluttering in wind'}
