emoji,group,before path,old_path,image_path,
😰,sentiment,1f630.svg,emoji_images/1f630.svg,https://twemoji.maxcdn.com/v/latest/svg/1f630.svg,
😱,sentiment,1f631.svg,emoji_images/1f631.svg,https://twemoji.maxcdn.com/v/latest/svg/1f631.svg,
😲,sentiment,1f632.svg,emoji_images/1f632.svg,https://twemoji.maxcdn.com/v/latest/svg/1f632.svg,
😳,sentiment,1f633.svg,emoji_images/1f633.svg,https://twemoji.maxcdn.com/v/latest/svg/1f633.svg,
😴,sentiment,1f634.svg,emoji_images/1f634.svg,https://twemoji.maxcdn.com/v/latest/svg/1f634.svg,
😵,sentiment,1f635.svg,emoji_images/1f635.svg,https://twemoji.maxcdn.com/v/latest/svg/1f635.svg,
😵\u200d💫,sentiment,1f635-200d-1f4ab.svg,emoji_images/1f635-200d-1f4ab.svg,https://twemoji.maxcdn.com/v/latest/svg/1f635-200d-1f4ab.svg,
😶,sentiment,1f636.svg,emoji_images/1f636.svg,https://twemoji.maxcdn.com/v/latest/svg/1f636.svg,
😶\u200d🌫️,sentiment,1f636-200d-1f32b-fe0f.svg,emoji_images/1f636-200d-1f32b-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f636-200d-1f32b-fe0f.svg,
😸,sentiment,1f638.svg,emoji_images/1f638.svg,https://twemoji.maxcdn.com/v/latest/svg/1f638.svg,
😺,sentiment,1f63a.svg,emoji_images/1f63a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f63a.svg,
😻,sentiment,1f63b.svg,emoji_images/1f63b.svg,https://twemoji.maxcdn.com/v/latest/svg/1f63b.svg,
🙀,sentiment,1f640.svg,emoji_images/1f640.svg,https://twemoji.maxcdn.com/v/latest/svg/1f640.svg,
🙂,sentiment,1f642.svg,emoji_images/1f642.svg,https://twemoji.maxcdn.com/v/latest/svg/1f642.svg,
🙃,sentiment,1f643.svg,emoji_images/1f643.svg,https://twemoji.maxcdn.com/v/latest/svg/1f643.svg,
🙄,sentiment,1f644.svg,emoji_images/1f644.svg,https://twemoji.maxcdn.com/v/latest/svg/1f644.svg,
🙆🏻\u200d♀️,sentiment,1f646-1f3fb-200d-2640-fe0f.svg,emoji_images/1f646-1f3fb-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f646-1f3fb-200d-2640-fe0f.svg,
🙇\u200d♂️,sentiment,1f647-200d-2642-fe0f.svg,emoji_images/1f647-200d-2642-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f647-200d-2642-fe0f.svg,
🙈,sentiment,1f648.svg,emoji_images/1f648.svg,https://twemoji.maxcdn.com/v/latest/svg/1f648.svg,
🙊,sentiment,1f64a.svg,emoji_images/1f64a.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64a.svg,
🙋\u200d♀️,sentiment,1f64b-200d-2640-fe0f.svg,emoji_images/1f64b-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64b-200d-2640-fe0f.svg,
🙋🏻\u200d♀️,sentiment,1f64b-1f3fb-200d-2640-fe0f.svg,emoji_images/1f64b-1f3fb-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64b-1f3fb-200d-2640-fe0f.svg,
🙋🏼\u200d♀️,sentiment,1f64b-1f3fc-200d-2640-fe0f.svg,emoji_images/1f64b-1f3fc-200d-2640-fe0f.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64b-1f3fc-200d-2640-fe0f.svg,
🙌,hand,1f64c.svg,emoji_images/1f64c.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64c.svg,
🙌🏻,hand,1f64c-1f3fb.svg,emoji_images/1f64c-1f3fb.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64c-1f3fb.svg,
🙌🏼,hand,1f64c-1f3fc.svg,emoji_images/1f64c-1f3fc.svg,https://twemoji.maxcdn.com/v/latest/svg/1f64c-1f3fc.svg,
